# StartTime = 02/03/2026 11:20:39.6323 AM
Time (sec), Vehicle speed (MPH), Mass air flow rate (lb/min), Latitude (deg), Longitude (deg), Trip Fuel Economy (MPG), Total Fuel Economy (MPG), Fuel Rate (gal/hr), Total CO2 (lbs), CO2 flow (lb/min), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Fuel system 1 status, Fuel system 2 status, Calculated load value (%), Engine coolant temperature (°F), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Engine RPM (RPM), Intake manifold absolute pressure (inHg), Mass air flow rate (lb/min), Intake air temperature (°F), O2 voltage (Bank 1  Sensor 2) (V), Short term fuel trim (Bank 1  Sensor 2) (%)
82.476,19.883879,1.025325,42.081676,-73.95214,7.1116047,29.918444,1.7563995,776.0142,0.5736353,10.613266,1.8463529,2,0,36.862743,77,8.59375,8.59375,1356,10.040234,1.0362936,10.4,0.855,-0.78125
84.953,17.398394,0.931392,42.08173,-73.95196,7.559369,29.918436,0.6809453,776.0234,0.22239485,29.200405,0.67108095,2,0,38.039215,77,-4.6875,8.59375,991,12.697943,0.9614931,10.4,0.065,-4.6875
87.549,10.563311,0.956529,42.08178,-73.95179,7.975077,29.918415,0.6185619,776.03265,0.20202062,28.127165,0.69668716,2,0,44.313725,77,-0.78125,8.59375,965,13.583846,1.0015882,10.4,0.04,-0.78125
90.011,3.1068559,1.034586,42.081787,-73.95177,8.131753,29.918268,0.63525605,776.0412,0.20747288,16.62843,1.1784538,2,0,51.764706,77,-0.78125,8.59375,1609,20.966372,2.5776172,10.4,0.05,-1.5625
92.591,8.077826,3.540348,42.081818,-73.95165,8.063367,29.917973,0.68709576,776.05023,0.22440359,4.521722,4.3337107,2,0,69.01961,77,-2.34375,8.59375,2354,18.308662,3.2930794,10.4,0.1,0
95.033,14.912909,3.623697,42.081863,-73.95149,7.777499,29.916899,2.3512383,776.0817,0.7679079,3.4355624,5.7038217,2,0,63.52941,77,-8.59375,8.59375,1982,20.375769,3.085722,10.4,0.21,-7.03125
97.619,18.641136,3.643542,42.081955,-73.95122,7.6720843,29.915802,2.4065924,776.11755,0.7859865,6.1966906,3.1623065,2,0,64.70588,77,-4.6875,8.59375,2260,17.71806,3.0595934,10.4,0.495,-1.5625
100.045,22.369364,3.331314,42.08202,-73.951,7.6759434,29.91489,2.4197721,776.1494,0.7902909,7.7036743,2.5436997,2,0,34.117645,77,10.9375,8.59375,1836,20.375769,2.8584185,10.4,0.765,-10.9375
102.746,22.990734,3.51918,42.082123,-73.95063,7.8921447,29.913345,2.33718,776.2096,0.7633166,9.836955,1.992063,2,0,67.84314,98.6,-4.6875,8.59375,1925,18.308662,2.6929386,8.6,0.09,-1.5625
106.510,25.47622,2.952936,42.08224,-73.95023,7.8921447,29.913345,2.33718,776.2096,0.7633166,9.836955,1.992063,2,0,63.52941,98.6,-2.34375,8.59375,2038,18.603964,2.9081378,8.6,0.105,-2.34375
107.872,27.340332,3.142125,42.08232,-73.94996,8.134309,29.912655,1.9611224,776.2413,0.6404972,12.990631,1.508459,2,0,60.784313,98.6,-3.125,8.59375,2033,16.241554,2.5326216,8.6,0.115,0
110.306,27.961704,1.760913,42.082447,-73.949524,8.329461,29.912052,2.086768,776.269,0.6815326,13.101761,1.4956642,2,0,38.431374,98.6,3.125,8.59375,1475,12.993244,1.4699919,8.6,0.905,-7.8125
112.869,27.340332,1.538649,42.082535,-73.94925,8.669724,29.911936,1.1694686,776.28436,0.38194522,23.909752,0.819575,2,0,42.7451,98.6,-1.5625,8.59375,1395,13.583846,1.4534574,8.6,0.865,-5.46875
115.300,26.718962,1.471176,42.082664,-73.948845,9.006674,29.91188,1.0218573,776.2979,0.33373576,26.75553,0.73240316,2,0,41.568626,98.6,7.8125,8.59375,1338,12.107341,1.2425395,8.6,0.86,3.90625
117.880,25.47622,1.629936,42.082737,-73.948586,9.361406,29.91183,0.97704667,776.3123,0.31910077,27.346659,0.71657145,2,0,46.666668,98.6,0.78125,8.59375,1334,11.221438,1.1481792,8.6,0.48,4.6875
120.336,25.47622,0.904932,42.082855,-73.948204,9.629104,29.911709,1.0824834,776.3267,0.3535361,23.534975,0.8326261,2,0,34.117645,98.6,2.34375,8.59375,1218,10.040234,0.9379862,8.6,0.395,-0.78125
122.908,24.854847,0.881118,42.082928,-73.94797,9.974963,29.91184,0.60098916,776.3347,0.1962814,42.39048,0.4622697,2,0,34.509804,98.6,-0.78125,8.59375,1199,10.335535,0.9505117,8.6,0.06,0.78125
125.351,24.233477,0.845397,42.083035,-73.94759,10.307559,29.91197,0.5851736,776.3425,0.1911161,42.47431,0.46135733,2,0,35.686275,98.6,1.5625,8.59375,1180,10.335535,0.93544936,8.6,0.37,3.125
127.918,22.990734,0.853335,42.08309,-73.94735,10.655124,29.91211,0.56145036,776.35077,0.18336815,43.162277,0.45400375,2,0,36.07843,98.6,3.125,8.59375,1152,10.630836,0.9393452,8.6,0.07,2.34375
130.364,22.369364,0.832167,42.083054,-73.947,10.940677,29.912212,0.5667222,776.3583,0.18508992,40.567905,0.48303786,2,0,36.47059,98.6,3.125,8.59375,1125,11.81204,1.0192548,8.6,0.86,3.125
132.932,21.747992,1.33623,42.083008,-73.94678,11.211197,29.91231,0.552664,776.3656,0.18049854,40.47552,0.4841404,2,0,52.156864,98.6,-0.78125,8.59375,1668,18.013361,2.304603,8.6,0.135,0.78125
135.382,22.369364,1.774143,42.082928,-73.94643,11.409126,29.91223,0.8874255,776.37744,0.2898307,24.506838,0.79960686,2,0,51.764706,98.6,4.6875,8.59375,1320,12.993244,1.3155181,8.6,0.835,5.46875
137.953,21.747992,1.139103,42.082874,-73.9462,11.567485,29.911983,1.178255,776.39484,0.38481486,18.985163,1.0321658,2,0,43.52941,98.6,1.5625,8.59375,1420,16.536856,1.8011365,8.6,0.145,-3.125
140.394,21.747992,2.34171,42.082813,-73.94584,11.77742,29.91197,0.75650823,776.4049,0.24707352,28.747858,0.68164504,2,0,59.215687,98.6,-1.5625,8.59375,1715,20.080467,2.6414554,8.6,0.375,-2.34375
142.974,22.990734,3.099789,42.082756,-73.945595,11.830606,29.911549,1.5551912,776.4255,0.50792116,13.984127,1.4012913,2,0,69.01961,98.6,-1.5625,8.59375,1809,19.489866,2.7042868,8.6,0.785,-0.78125
145.419,24.854847,2.828574,42.08267,-73.945206,11.808447,29.910889,2.0586514,776.45276,0.6723499,11.167862,1.7546631,2,0,64.31373,98.6,-1.5625,8.59375,1753,18.899263,2.5411608,8.6,0.8,-3.125
147.998,26.09759,2.47401,42.082603,-73.94493,11.853949,29.910292,1.8785304,776.48065,0.6135228,13.231007,1.481054,2,0,58.82353,98.6,-0.78125,8.59375,1656,16.832157,2.1379888,8.6,0.25,-0.78125
150.458,26.09759,0.973728,42.082508,-73.94452,11.947592,29.909893,1.6430551,776.5026,0.5366173,15.883575,1.2337168,2,0,36.07843,98.6,7.8125,8.59375,1231,10.335535,0.97587985,8.6,0.875,1.5625
153.208,22.369364,0.85995,42.08247,-73.9442,12.424042,29.910093,0.57111543,776.51904,0.18652472,39.16785,0.50030404,2,0,38.039215,113,-3.125,8.59375,1227,10.630836,1.0005004,8.6,0.04,0
157.059,13.670166,0.866565,42.08246,-73.94408,12.424042,29.910093,0.57111543,776.51904,0.18652472,39.16785,0.50030404,2,0,40.784313,113,-1.5625,8.59375,950,12.402642,0.9037392,8.6,0.125,-1.5625
158.412,4.3495984,0.853335,42.082455,-73.944016,12.538854,29.910023,0.5755086,776.52844,0.18795952,23.753191,0.8249769,2,0,45.882355,113,3.125,8.59375,1498,18.603964,2.137581,8.6,0.055,-1.5625
160.872,6.2137117,2.811375,42.08246,-73.94393,12.500582,29.909805,0.5667222,776.536,0.18508992,7.6750093,2.5532,2,0,62.7451,113,1.5625,8.59375,2062,18.603964,2.9423847,8.6,0.075,0
163.468,12.4274235,3.684555,42.082634,-73.943855,12.267829,29.90895,1.8671081,776.561,0.60979235,3.3279872,5.888194,2,0,55.294117,113,2.34375,8.59375,2435,21.852274,4.0813227,6.8,0.17,-7.03125
165.908,19.262506,4.434696,42.082806,-73.94384,12.040155,29.907907,2.4470098,776.5937,0.7991867,5.078616,3.8584988,2,0,71.37255,113,-3.125,8.59375,2556,20.375769,4.010078,6.8,0.13,-2.34375
168.474,25.47622,4.955958,42.08313,-73.94377,11.816787,29.906607,2.9451983,776.63696,0.9618936,6.540309,2.9961634,2,0,65.4902,113,-3.90625,8.59375,2251,21.556973,3.7362955,6.8,0.105,-6.25
170.905,29.825817,3.871098,42.083378,-73.94373,11.656006,29.905363,3.291382,776.6805,1.0749563,7.74028,2.53167,2,0,55.294117,113,2.34375,8.59375,2106,10.630836,1.7238669,6.8,0.825,7.8125
173.473,31.68993,1.987146,42.083763,-73.94364,11.654362,29.90456,2.570898,776.71454,0.8396482,11.601323,1.6891035,2,0,48.235294,113,-7.03125,8.59375,1724,15.650953,2.0775716,6.8,0.085,-3.90625
175.906,32.932674,3.120957,42.084007,-73.9435,11.83951,29.904427,1.3197159,776.73206,0.43101558,24.012691,0.8160616,2,0,65.882355,113,-3.125,8.59375,2022,20.966372,3.2642422,6.8,0.735,-4.6875
178.463,33.554043,3.66471,42.084362,-73.943214,11.945134,29.903881,2.0727096,776.7624,0.6769413,15.888706,1.2333186,2,0,69.803925,113,-3.90625,8.59375,1916,20.375769,3.0059896,6.8,0.81,-3.125
180.894,34.175415,4.073517,42.084595,-73.943016,11.992723,29.903212,2.4338303,776.7946,0.7948823,13.786518,1.4213767,2,0,77.64706,113,-7.03125,8.59375,2205,22.738176,3.8604877,6.8,0.795,-7.8125
183.460,34.796787,3.979584,42.084938,-73.942696,12.011662,29.902418,2.7053297,776.8304,0.88355327,12.632625,1.5512085,2,0,75.68627,113,-6.25,8.59375,2237,23.32878,4.0182405,5,0.74,-7.03125
185.893,34.175415,5.183514,42.085175,-73.942505,12.042317,29.901663,2.6429465,776.86536,0.863179,13.165907,1.4883771,2,0,83.92157,113,-7.8125,8.59375,2362,25.100586,4.582693,5,0.82,-7.03125
188.459,36.039528,5.211297,42.085583,-73.94227,11.962445,29.900362,3.442508,776.91595,1.1243136,9.927476,1.973899,2,0,81.960785,113,-7.03125,8.59375,2378,23.62408,4.3423395,5,0.725,-6.25
190.888,38.525013,4.483647,42.08588,-73.94215,11.911501,29.899214,3.4609594,776.9618,1.1303399,10.413161,1.8818333,2,0,74.117645,113,-5.46875,8.59375,2209,20.67107,3.5295205,5,0.835,-3.90625
193.454,39.767757,3.540348,42.08635,-73.94197,11.939752,29.898354,2.9777079,777.00116,0.9725112,12.937808,1.5146178,2,0,65.09804,113,-3.125,8.59375,2199,20.080467,3.4131556,5,0.07,-3.90625
195.880,41.010498,3.808917,42.086674,-73.94184,12.045616,29.897835,2.3512383,777.0322,0.7679079,16.913538,1.1585888,2,0,67.84314,113,-3.90625,8.59375,2197,18.308662,3.1091645,5,0.095,-1.5625
198.447,41.63187,3.435831,42.08718,-73.94171,12.149311,29.897179,2.529602,777.0694,0.826161,16.212234,1.2087066,2,0,70.588234,113,-5.46875,8.59375,2236,19.194565,3.3174708,5,0.82,-3.125
